code_insee,population,P15_POP,croissance_pop,dep,nb_banques_classiques,nb_services_financiers,nb_equipements_eco,nb_equipements_services,revenu_median,commune,densite_equip_eco,densite_equip_ser,densite_banques,densite_services_fin,pop_norm,eco_norm,ser_norm,bank_norm,revenu_norm,croissance_norm,score_potentiel,score_saturation,score_final,rang_score,potentiel,CLUSTER,cluster_label
42003,1884,1896,-0.632911392,42,0,1,50,18,22250,Ambierle,26.539278132,9.5541401274,0,0.5307855626,0.0107819521,0.3872321694,0.1246815327,0,0.4145299145,0.2872897242,0.2580305904,0,0.2580305904,1,Potentiel moyen,3,Cluster 3
42005,10187,9947,2.4127877752,42,7,10,448,100,22200,Arézieux-Bouthéon,43.977618533,9.8164327084,0.6871502896,0.9816432708,0.0588606569,0.6416733923,0.128104451,0.257223244,0.4114774115,0.329603931,0.3396224156,0.257223244,0.2522636361,1,Potentiel moyen,3,Cluster 3
42010,1686,1593,5.8380414313,42,0,1,21,12,25590,Aveizieux,12.455516014,7.1174377224,0,0.5931198102,0.0096354287,0.18173729,0.0928825653,0,0.6184371184,0.3771913266,0.2604194821,0,0.2604194821,2,Potentiel élevé,4,Cluster 4
42011,2848,2989,-4.717296755,42,1,4,107,41,21020,Balbigny,37.570224719,14.396067416,0.3511235955,1.404494382,0.0163640154,0.5481836978,0.1878686859,0.1314372586,0.3394383394,0.230544945,0.2824956873,0.1314372586,0.2453652286,1,Potentiel moyen,3,Cluster 3
42013,1991,1979,0.6063668519,42,0,1,45,15,23510,Bellegarde-en-Forez,22.601707685,7.5339025615,0,0.5022601708,0.011401538,0.3297794407,0.0983174316,0,0.4914529915,0.3045071423,0.2586648093,0,0.2586648093,2,Potentiel élevé,3,Cluster 3
42015,1448,1552,-6.701030928,42,0,2,33,22,21760,Belmont-de-la-Loire,22.790055249,15.193370166,0,1.3812154696,0.0082572845,0.3325276027,0.1982734871,0,0.3846153846,0.2029847254,0.2320444026,0,0.2320444026,1,Potentiel moyen,3,Cluster 3
42019,3029,3308,-8.434099154,42,4,5,106,48,19810,Boën-sur-Lignon,34.995047871,15.84681413,1.3205678442,1.6507098052,0.0174120999,0.5106095289,0.2068009311,0.4943325353,0.2655677656,0.1789070332,0.2510499016,0.4943325353,0.1269477673,0,Potentiel faible,1,Cluster 1
42020,1199,1149,4.3516100957,42,0,0,22,11,24800,Boisset-lès-Montro,18.348623853,9.1743119266,0,0,0.0068154445,0.2677230852,0.1197247745,0,0.5702075702,0.3565401857,0.2716021275,0,0.2716021275,2,Potentiel élevé,4,Cluster 4
42021,1264,1209,4.5492142266,42,0,1,26,7,24240,Boisset-Saint-Priest,20.569620253,5.5379746835,0,0.7911392405,0.0071918284,0.3001294396,0.072270572,0,0.536019536,0.3592855199,0.2663723226,0,0.2663723226,2,Potentiel élevé,4,Cluster 4
42022,4363,3747,16.439818521,42,0,1,100,20,23020,Bonson,22.920009168,4.5840018336,0,0.2292000917,0.0251366563,0.3344237484,0.0598212259,0,0.4615384615,0.5244828887,0.2948107223,0,0.2948107223,2,Potentiel élevé,3,Cluster 3
42023,2949,2902,1.6195727085,42,1,2,75,36,21940,Bourg-Argental,25.432349949,12.207527976,0.3390979993,0.6781959986,0.0169488581,0.371081082,0.1593082453,0.1269356773,0.3956043956,0.3185837138,0.2628939008,0.1269356773,0.2295232854,1,Potentiel moyen,3,Cluster 3
42026,1724,1699,1.4714537964,42,1,2,31,17,23000,Briennon,17.981438515,9.8607888631,0.5800464037,1.1600928074,0.0098554686,0.2623655176,0.1286832988,0.2171306916,0.4603174603,0.3165258827,0.2422336366,0.2171306916,0.1896372795,0,Potentiel faible,3,Cluster 3
42029,1521,1576,-3.489847716,42,0,1,33,13,21690,Bussières,21.696252465,8.547008547,0,0.6574621959,0.0086799926,0.3165680268,0.1115384652,0,0.3803418803,0.2475980187,0.2231967548,0,0.2231967548,1,Potentiel moyen,3,Cluster 3
42032,1706,1701,0.2939447384,42,0,1,29,9,26190,Cellieu,16.998827667,5.2754982415,0,0.5861664713,0.0097512392,0.248028333,0.0688452543,0,0.6550671551,0.3001666302,0.2653308763,0,0.2653308763,2,Potentiel élevé,4,Cluster 4
42042,1068,981,8.8685015291,42,0,0,27,6,27140,Chambles,25.280898876,5.6179775281,0,0,0.0060568861,0.3688712733,0.0733146091,0,0.7130647131,0.4192938155,0.3308980926,0,0.3308980926,2,Potentiel élevé,4,Cluster 4
42043,1797,1628,10.380835381,42,0,1,33,14,27920,Chambœuf,18.3639399,7.7907623817,0,0.5564830273,0.0102781767,0.2679465602,0.1016694524,0,0.7606837607,0.4403048227,0.3244904099,0,0.3244904099,2,Potentiel élevé,4,Cluster 4
42044,12066,12656,-4.66182048,42,5,8,257,78,18610,Le Chambon-Feugerolles,21.29951931,6.4644455495,0.4143875352,0.6630200564,0.0697410479,0.3107793297,0.0843610172,0.1551190587,0.1923076923,0.2313156825,0.1890218695,0.1551190587,0.1597009751,0,Potentiel faible,3,Cluster 3
42046,2006,1856,8.0818965517,42,0,1,43,16,23940,Champdieu,21.435692921,7.9760717846,0,0.4985044865,0.0114883958,0.3127662264,0.1040877402,0,0.5177045177,0.4083654329,0.2813163869,0,0.2813163869,2,Potentiel élevé,4,Cluster 4
42048,1458,1438,1.3908205841,42,0,1,16,4,22970,Chaon,10.9739369,2.743484225,0,0.6858710562,0.0083151897,0.1601197053,0.0358024703,0,0.4584859585,0.3154056374,0.201841654,0,0.201841654,0,Potentiel faible,3,Cluster 3
42052,3712,3694,0.4872766649,42,7,9,174,55,20420,Charlieu,46.875,14.816810345,1.8857758621,2.4245689655,0.0213670265,0.6839488192,0.1933593813,0.7059087248,0.3028083028,0.3028526102,0.3253966999,0.7059087248,0.0956963304,0,Potentiel faible,1,Cluster 1
42053,1675,1559,7.4406670943,42,0,0,34,11,26200,Châteauneuf,20.298507463,6.5671641791,0,0,0.009571733,0.2961736578,0.0857014953,0,0.6556776557,0.3994567672,0.2998398699,0,0.2998398699,2,Potentiel élevé,4,Cluster 4
42056,2889,2889,0,42,1,3,103,21,24760,Chavanay,35.652474905,7.2689511942,0.3461405331,1.0384215992,0.0166014268,0.5202019864,0.0948598162,0.1295719323,0.5677655678,0.2960828262,0.3203694332,0.1295719323,0.2788585467,2,Potentiel élevé,3,Cluster 3
42059,5472,5219,4.8476719678,42,3,4,142,48,21810,Chazelles-sur-Lyon,25.950292398,8.7719298246,0.548245614,0.730994152,0.0315583453,0.3786383326,0.1144736879,0.2052265967,0.3876678877,0.3634320235,0.2683622876,0.2052265967,0.2132872087,0,Potentiel faible,3,Cluster 3
42062,1160,1067,8.7160262418,42,0,1,26,9,23420,Chevrières,22.413793103,7.7586206897,0,0.8620689655,0.0065896141,0.3270375963,0.1012500033,0,0.485958486,0.4171754609,0.2788916118,0,0.2788916118,2,Potentiel élevé,3,Cluster 3
42065,1432,1376,4.0697674419,42,0,0,36,9,25340,Civens,25.139664804,6.2849162011,0,0,0.0081646361,0.3668105399,0.0820181591,0,0.6031746032,0.3526245172,0.2967981101,0,0.2967981101,2,Potentiel élevé,4,Cluster 4
42069,3029,2883,5.0641692681,42,0,0,42,22,24710,Commelle-Vernay,13.865962364,7.263123143,0,0,0.0174120999,0.2023169832,0.0947837601,0,0.5647130647,0.3664398424,0.2545098112,0,0.2545098112,1,Potentiel moyen,4,Cluster 4
