DEPCOM,Libelle_DOM,Libelle_SDOM,Libelle_TYPEQU,SIRET,TYPEQU
42001,Enseignement,Formation continue,ORGANISME DE FORMATION EN APPRENTISSAGE,84386691400016,C610
42001,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),INFIRMIER,"",D281
42001,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MASSEUR KINÉSITHÉRAPEUTE,"",D279
42001,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,48213998700028,A405
42001,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,84866360500014,A405
42001,Services pour les particuliers,Artisanat du bâtiment,MAÇON,48518694400016,A401
42001,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,81349210500016,A403
42001,Services pour les particuliers,Autres services,AGENCE IMMOBILIÈRE,91932506800014,A505
42001,Services pour les particuliers,Autres services,COIFFURE,52867593700031,A501
42001,Services pour les particuliers,Autres services,COIFFURE,79489672000016,A501
42001,Services pour les particuliers,Autres services,INSTITUT DE BEAUTÉ-ONGLERIE,50159275200056,A507
42001,Services pour les particuliers,Services automobiles,ÉCOLE DE CONDUITE,91883519000011,A304
42001,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,41840716900014,A301
42001,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,90944477000012,A301
42001,Services pour les particuliers,Services publics,MAIRIE,"",A129
42001,"Sports, loisirs et culture",Equipements de loisirs,BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION,"",F203
42001,"Sports, loisirs et culture",Equipements sportifs,BOULODROME,"",F102
42002,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420035400030,C108
42002,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,90873778600016,A403
42002,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,94946784900012,A301
42002,Services pour les particuliers,Services publics,MAIRIE,"",A129
42002,"Sports, loisirs et culture",Equipements sportifs,BOULODROME,"",F102
42002,"Sports, loisirs et culture",Equipements sportifs,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,"",F111
42003,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,85242649300015,B207
42003,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,95335892600012,B207
42003,Commerces,Commerces alimentaires,ÉPICERIE,88188194000012,B202
42003,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE BIENS D’OCCASION,39430630200032,B323
42003,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE COMBUSTIBLES DOMESTIQUES,82265102200011,B320
42003,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MATÉRIELS DE TÉLÉCOMMUNICATION,91409518700011,B322
42003,Commerces,Commerces spécialisés non-alimentaires,STATION DE RECHARGE DE VÉHICULES ÉLECTRIQUES,"",B326
42003,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420003200057,C108
42003,Santé et action sociale,Action sociale pour enfants en bas-âge,ACCUEIL DE LOISIR SANS HÉBERGEMENT,"",D505
42003,Santé et action sociale,Autres établissements et services à caractère sanitaire,PHARMACIE,79341669400024,D307
42003,Santé et action sociale,Etablissements et services de santé,MAISON DE SANTÉ PLURIDISCIPLINAIRE,83091947800016,D113
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),INFIRMIER,"",D281
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MASSEUR KINÉSITHÉRAPEUTE,"",D279
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,48015846800011,D265
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,49981324400013,D265
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,85255009400019,D265
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),PSYCHOLOGUE,"",D250
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,39243713300029,A405
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,87800001700011,A405
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,88004987900013,A405
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,91083493600015,A405
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,44467706600037,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,45099213600025,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,52404312200018,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,80324389800027,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,90811511600018,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,95405837600011,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,97919943700026,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,38043378900027,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,44402633000027,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,80965468400012,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,82522747300014,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,90931615000012,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,92048518200017,A403
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,45087123100046,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,51000463300036,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,78859748200017,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,82336912900023,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,82445053000038,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,90118534800017,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,42969403700038,A404
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,45169500100029,A404
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,51866738100025,A404
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,92248048800019,A404
